service_id,date,exception_type
N,20250502,1
RD,20250502,2
N,20250501,1
RD,20250501,2
N,20250421,1
RD,20250421,2
N,20250418,1
RD,20250418,2
N,20250315,1
S,20250315,2
N,20250217,1
RD,20250217,2
N,20250215,1
S,20250215,2
N,20250107,1
RD,20250107,2
N,20250106,1
RD,20250106,2
N,20250102,1
RD,20250102,2
N,20250101,1
RD,20250101,2
N,20241111,1
RD,20241111,2
N,20240506,1
RD,20240506,2
N,20240503,1
RD,20240503,2
N,20240502,1
RD,20240502,2
N,20240501,1
RD,20240501,2
N,20240216,1
RD,20240216,2
N,20240215,1
RD,20240215,2
N,20240102,1
N,20240101,1
RD,20240102,2
RD,20240101,2
N,20231111,1
S,20231111,2

